iter	Passed	Remaining
0	1172	233239
1	2288	226555
2	3356	220416
3	4434	217280
4	5500	214529
5	6542	211532
6	7697	212233
7	8850	212419
8	9987	211958
9	11171	212252
10	12348	212169
11	13533	212024
12	14699	211441
13	15834	210368
14	16918	208655
15	17985	206838
16	19000	204539
17	20053	202762
18	21098	200994
19	22146	199314
20	23178	197570
21	24221	195973
22	25458	195922
23	26637	195344
24	27790	194535
25	28930	193613
26	30109	192921
27	31266	192063
28	32356	190789
29	33420	189380
30	34402	187548
31	35495	186352
32	36537	184901
33	37610	183628
34	38718	182529
35	39726	180974
36	40782	179662
37	42026	179166
38	43223	178434
39	44422	177688
40	45658	177066
41	46859	176279
42	48000	175258
43	49020	173799
44	50034	172339
45	51058	170934
46	52121	169672
47	53175	168389
48	54199	167022
49	55219	165658
50	56304	164497
51	57549	163795
52	58755	162963
53	59940	162062
54	61171	161271
55	62414	160493
56	63541	159410
57	64560	158062
58	65588	156744
59	66592	155381
60	67641	154132
61	68724	152968
62	69784	151753
63	70802	150455
64	71816	149157
65	72973	148157
66	74146	147187
67	75330	146230
68	76509	145257
69	77685	144273
70	78867	143294
71	79946	142126
72	80978	140880
73	81957	139549
74	83012	138353
75	84024	137092
76	85083	135913
77	86171	134781
78	87133	133457
79	88272	132408
80	89482	131461
81	90652	130451
82	91843	129466
83	92990	128414
84	94164	127398
85	95824	127023
86	97398	126506
87	98384	125217
88	100882	125819
89	102617	125421
90	104358	125000
91	106084	124534
92	107623	123825
93	109053	122975
94	110330	121943
95	111716	121026
96	112743	119717
97	113800	118445
98	114886	117207
99	115947	115947
100	117016	114699
101	118094	113462
102	119159	112218
103	120209	110962
104	121370	109811
105	122626	108744
106	123857	107651
107	125037	106513
108	126341	105477
109	127479	104301
110	128568	103086
111	129605	101833
112	130655	100593
113	131727	99373
114	132790	98149
115	133830	96911
116	134884	95687
117	135927	94457
118	137165	93364
119	138380	92253
120	139550	91111
121	140708	89961
122	141911	88839
123	143057	87680
124	144095	86457
125	145107	85221
126	146080	83967
127	147137	82764
128	148198	81566
129	149283	80383
130	150300	79165
131	151339	77962
132	152476	76811
133	153650	75678
134	154802	74534
135	155936	73381
136	157067	72228
137	158273	71108
138	159922	70181
139	161478	69204
140	163181	68281
141	165725	67690
142	167493	66763
143	169349	65858
144	171057	64884
145	172675	63866
146	174005	62736
147	175000	61486
148	176113	60280
149	177233	59077
150	178324	57866
151	179346	56635
152	180378	55410
153	181468	54205
154	182538	52994
155	183604	51785
156	184591	50556
157	185738	49373
158	186882	48189
159	188011	47002
160	189159	45821
161	190289	44635
162	191359	43437
163	192354	42224
164	193365	41017
165	194383	39813
166	195416	38615
167	196495	37427
168	197519	36231
169	198503	35030
170	199533	33838
171	200748	32680
172	201891	31509
173	203029	30337
174	204174	29167
175	205309	27996
176	206605	26847
177	208239	25737
178	209818	24615
179	211504	23500
180	213235	22383
181	215036	21267
182	216818	20141
183	218423	18993
184	219815	17822
185	221065	16639
186	222235	15449
187	223405	14259
188	224460	13063
189	225511	11869
190	226597	10677
191	227679	9486
192	228755	8296
193	229809	7107
194	230840	5918
195	232029	4735
196	233205	3551
197	235274	2376
198	236682	1189
199	238280	0
